,ID,NrSiblings,MathScore,ReadingScore,WritingScore,LunchType,WklyStudyHours,ParentEduc,TestPrep,Gender,EthnicGroup,ParentMaritalStatus,PracticeSport,IsFirstChild,TransportMeans,MeanScore
0,0,3.0,71,71,74,2,1.0,4.0,1.0,1,3.0,2.0,2.0,2.0,2.0,72.0
1,1,0.0,69,90,88,2,2.0,3.0,1.0,1,3.0,2.0,3.0,2.0,2.0,82.33333333333333
2,2,4.0,87,93,91,2,1.0,6.0,1.0,1,2.0,3.0,3.0,2.0,2.0,90.33333333333333
3,3,1.0,45,56,42,1,2.0,5.0,1.0,2,1.0,2.0,1.0,1.0,2.0,47.666666666666664
4,4,0.0,76,78,75,2,2.0,3.0,1.0,2,3.0,2.0,3.0,2.0,2.0,76.33333333333333
5,5,1.0,73,84,79,2,2.0,5.0,1.0,1,2.0,2.0,2.0,2.0,2.0,78.66666666666667
6,6,1.0,85,93,89,2,2.0,3.0,2.0,1,2.0,4.0,1.0,1.0,1.0,89.0
7,7,1.0,41,43,39,1,3.0,3.0,1.0,2,2.0,2.0,3.0,2.0,1.0,41.0
8,8,3.0,65,64,68,1,3.0,2.0,2.0,2,4.0,3.0,3.0,1.0,1.0,65.66666666666667
9,9,2.0,37,59,50,1,1.0,2.0,1.0,1,2.0,2.0,2.0,2.0,1.0,48.666666666666664
10,10,1.0,58,54,52,2,2.0,5.0,1.0,2,3.0,2.0,3.0,2.0,1.0,54.666666666666664
11,11,1.0,40,52,43,2,2.0,5.0,1.0,2,4.0,1.0,3.0,2.0,2.0,45.0
12,12,1.0,66,82,74,2,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1.0,74.0
13,13,1.0,80,73,71,2,3.0,3.0,2.0,2,1.0,3.0,3.0,2.0,1.0,74.66666666666667
14,14,2.0,48,53,58,2,1.0,6.0,1.0,1,1.0,1.0,3.0,2.0,1.0,53.0
15,15,0.0,69,75,78,2,2.0,1.0,1.0,1,3.0,2.0,3.0,2.0,1.0,74.0
16,16,0.0,88,89,86,2,2.0,2.0,1.0,2,3.0,2.0,3.0,2.0,2.0,87.66666666666667
17,17,1.0,18,32,28,1,2.0,1.0,1.0,1,2.0,1.0,3.0,2.0,2.0,26.0
18,18,1.0,46,42,47,1,2.0,6.0,2.0,2,3.0,3.0,3.0,1.0,1.0,45.0
19,19,3.0,50,56,58,1,1.0,5.0,1.0,1,3.0,2.0,1.0,2.0,1.0,54.666666666666664
20,20,5.0,66,69,63,2,2.0,2.0,1.0,2,4.0,2.0,3.0,2.0,2.0,66.0
21,21,2.0,65,75,70,1,2.0,3.0,2.0,1,2.0,2.0,3.0,1.0,2.0,70.0
22,22,5.0,42,53,51,2,2.0,3.0,1.0,2,4.0,2.0,1.0,2.0,2.0,48.666666666666664
23,23,3.0,66,71,71,2,2.0,1.0,1.0,1,3.0,1.0,1.0,1.0,2.0,69.33333333333333
